Dataset,# Training,% Training,% Defect Training,%Defect Testing,Classifier,Balancing,FeatureSelection,TP,FP,TN,FN,Precision,Recall,ROC Area,Kappa
AVRO,3,0.710298363811357,0.08310749774164408,0.08859357696567,IBk,Under sampling,False,0.9968472906403941,0.4782608695652174,0.5217391304347826,0.0031527093596059115,0.9583254404243228,0.9968472906403941,0.875344185050332,0.6495651287444268
AVRO,3,0.710298363811357,0.08310749774164408,0.08859357696567,NB,Under sampling,False,0.9946633825944171,0.48097826086956524,0.5190217391304348,0.005336617405582923,0.9580104380831883,0.9946633825944171,0.8742189173270508,0.6356867634602281
AVRO,3,0.710298363811357,0.08310749774164408,0.08859357696567,RF,Over sampling,False,1.0,0.46195652173913043,0.5380434782608695,0.0,0.9598108747044918,1.0,0.8665091561362176,0.6811041634894006
AVRO,3,0.710298363811357,0.08310749774164408,0.08859357696567,IBk,Over sampling,False,1.0,0.45108695652173914,0.5489130434782609,0.0,0.9607193563653573,1.0,0.8707535741058042,0.6905436309197036
AVRO,3,0.710298363811357,0.08310749774164408,0.08859357696567,NB,Over sampling,False,0.9962233169129721,0.4891304347826087,0.5108695652173914,0.0037766830870279147,0.9573930882120877,0.9962233169129721,0.8729489421955688,0.6366136778929372
AVRO,3,0.710298363811357,0.08310749774164408,0.08859357696567,RF,Smote,False,1.0,0.46195652173913043,0.5380434782608695,0.0,0.9598108747044918,1.0,0.8755903298350824,0.6811041634894006
AVRO,3,0.710298363811357,0.08310749774164408,0.08859357696567,IBk,Smote,False,1.0,0.46195652173913043,0.5380434782608695,0.0,0.9598108747044918,1.0,0.8772465329835083,0.6811041634894006
AVRO,3,0.710298363811357,0.08310749774164408,0.08859357696567,NB,Smote,False,0.997208538587849,0.4148550724637681,0.5851449275362319,0.0027914614121510675,0.963662329419232,0.997208538587849,0.878403952785512,0.7055609135848382
AVRO,3,0.710298363811357,0.08310749774164408,0.08859357696567,RF,No sampling,True,1.0,0.46195652173913043,0.5380434782608695,0.0,0.9598108747044918,1.0,0.7690217391304348,0.6811041634894006
AVRO,3,0.710298363811357,0.08310749774164408,0.08859357696567,IBk,No sampling,True,1.0,0.46195652173913043,0.5380434782608695,0.0,0.9598108747044918,1.0,0.7970610676804455,0.6811041634894006
AVRO,3,0.710298363811357,0.08310749774164408,0.08859357696567,NB,No sampling,True,1.0,0.46195652173913043,0.5380434782608695,0.0,0.9598108747044918,1.0,0.7929462352157255,0.6811041634894006
AVRO,3,0.710298363811357,0.08310749774164408,0.08859357696567,RF,Under sampling,True,1.0,0.4633152173913043,0.5366847826086957,0.0,0.9596974352913368,1.0,0.7824792681784108,0.6799159188594945
AVRO,3,0.710298363811357,0.08310749774164408,0.08859357696567,IBk,Under sampling,True,1.0,0.46304347826086956,0.5369565217391304,0.0,0.9597201210287444,1.0,0.7867127864639109,0.6801537165576279
AVRO,3,0.710298363811357,0.08310749774164408,0.08859357696567,NB,Under sampling,True,1.0,0.4628623188405797,0.5371376811594203,0.0,0.9597352454495311,1.0,0.7841726086361581,0.680312207009229
AVRO,3,0.710298363811357,0.08310749774164408,0.08859357696567,RF,Over sampling,True,1.0,0.4673913043478261,0.532608695652174,0.0,0.9593572778827977,1.0,0.7690217391304348,0.6763399990480785
