Dataset,# Training,% Training,% Defect Training,Classifier,Balancing,FeatureSelection,Precision,Recall,ROC Area,Kappa
BOOKKEEPER,4,0.8007307842881378,0.07570078226857888,RF,Under sampling,False,0.9767523466970787,0.981574539363484,0.8758868945078536,0.716138162443985
BOOKKEEPER,4,0.8007307842881378,0.07570078226857888,IBk,Under sampling,False,0.977810650887574,0.9790002644802962,0.8733961500133759,0.7126000918191517
BOOKKEEPER,4,0.8007307842881378,0.07570078226857888,NB,Under sampling,False,0.978305114742493,0.9746539716124482,0.873116089283394,0.6961870817677137
BOOKKEEPER,4,0.8007307842881378,0.07570078226857888,RF,Over sampling,False,0.9730633953847474,1.0,0.8769023103544843,0.7835808195965042
BOOKKEEPER,4,0.8007307842881378,0.07570078226857888,IBk,Over sampling,False,0.9770782396088019,0.9864674248435158,0.867939766344422,0.7439764800376805
BOOKKEEPER,4,0.8007307842881378,0.07570078226857888,NB,Over sampling,False,0.9781634938409854,0.9754327191513121,0.8697700887747205,0.6986236843693673
BOOKKEEPER,4,0.8007307842881378,0.07570078226857888,RF,Smote,False,0.9730633953847474,1.0,0.8829319771292395,0.7835808195965042
BOOKKEEPER,4,0.8007307842881378,0.07570078226857888,IBk,Smote,False,0.9770782396088019,0.9864674248435158,0.8706494082597377,0.7439764800376805
BOOKKEEPER,4,0.8007307842881378,0.07570078226857888,NB,Smote,False,0.979169125457335,0.9752270122542537,0.8772909539377138,0.7059773620859798
BOOKKEEPER,5,0.8409789288849868,0.07973378572360694,RF,No sampling,False,0.9768121997075413,0.9946114577424844,0.8943685405029553,0.7988307386940907
BOOKKEEPER,5,0.8409789288849868,0.07973378572360694,IBk,No sampling,False,0.9792123311885739,0.981920022688599,0.887808021345757,0.7522954253881426
BOOKKEEPER,5,0.8409789288849868,0.07973378572360694,NB,No sampling,False,0.9801122847083452,0.9737190395159766,0.8853578041879836,0.7208920669715858
BOOKKEEPER,5,0.8409789288849868,0.07973378572360694,RF,Under sampling,False,0.9806413450680241,0.9697426262053318,0.8842754567020488,0.707356605835671
BOOKKEEPER,5,0.8409789288849868,0.07973378572360694,IBk,Under sampling,False,0.9808799253570659,0.9689875212705615,0.8815847438666979,0.7058751836978258
BOOKKEEPER,5,0.8409789288849868,0.07973378572360694,NB,Under sampling,False,0.9811053830475962,0.9670306296086216,0.8822685756908619,0.6992116562325117
BOOKKEEPER,5,0.8409789288849868,0.07973378572360694,RF,Over sampling,False,0.9769225406121453,0.9934770277935338,0.8328665626772547,0.7934815731886635
BOOKKEEPER,5,0.8409789288849868,0.07973378572360694,IBk,Over sampling,False,0.9792639773531493,0.981069200226886,0.8569455012356189,0.7485718865815052
BOOKKEEPER,5,0.8409789288849868,0.07973378572360694,NB,Over sampling,False,0.9801475839085932,0.9731518245415012,0.8717923382037078,0.7186209784723879
BOOKKEEPER,5,0.8409789288849868,0.07973378572360694,RF,Smote,False,0.976794425087108,0.9938315371525809,0.894752292532536,0.7943555142479506
BOOKKEEPER,5,0.8409789288849868,0.07973378572360694,IBk,Smote,False,0.9792388767065148,0.9815300623936472,0.8885776649356244,0.7506069454402648
BOOKKEEPER,5,0.8409789288849868,0.07973378572360694,NB,Smote,False,0.9802232323472715,0.973435432028739,0.8854819050274391,0.7204614184934949
BOOKKEEPER,6,0.8548243351001454,0.07918129938542581,RF,No sampling,False,0.972114325468143,0.9992253143436028,0.865204675138529,0.7817632217682136
BOOKKEEPER,6,0.8548243351001454,0.07918129938542581,IBk,No sampling,False,0.9724893629422393,0.994279244383529,0.8322973941381664,0.7573714553434489
BOOKKEEPER,6,0.8548243351001454,0.07918129938542581,NB,No sampling,False,0.9702239532619279,0.9896311304451463,0.7944196689205926,0.7121370963853916
BOOKKEEPER,6,0.8548243351001454,0.07918129938542581,RF,Under sampling,False,0.9709883337001981,0.9857577021631607,0.8027387178529095,0.6998143196481573
BOOKKEEPER,6,0.8548243351001454,0.07918129938542581,IBk,Under sampling,False,0.9714682385608227,0.9840653119599547,0.799633820102207,0.6959192154374015
BOOKKEEPER,6,0.8548243351001454,0.07918129938542581,NB,Under sampling,False,0.9712684846284431,0.9830661661005502,0.7958180025473393,0.689385069878709
BOOKKEEPER,6,0.8548243351001454,0.07918129938542581,RF,Over sampling,False,0.9721094746607909,0.9990465407305882,0.8073678804564925,0.7806825332761098
BOOKKEEPER,6,0.8548243351001454,0.07918129938542581,IBk,Over sampling,False,0.9725000729054271,0.9936237411358083,0.803744101327678,0.7539037142677396
BOOKKEEPER,6,0.8548243351001454,0.07918129938542581,NB,Over sampling,False,0.9713627579206278,0.988419442623602,0.7933205284972165,0.7163980388959914
BOOKKEEPER,6,0.8548243351001454,0.07918129938542581,RF,Smote,False,0.9719534102103494,0.9995232703652941,0.8639218743205395,0.781998322452062
