Version Number,File Name,LOC_Touched,NumberRevisions,NumberBugFix,LOC_Added,MAX_LOC_Added,Chg_Set_Size,Max_Chg_Set,AVG_Chg_Set,Avg_LOC_Added,Buggy
1,bookkeeper-common/src/main/java/org/apache/bookkeeper/common/conf/package-info.java,0,0,0,0,0,0,0,0,0,No
1,bookkeeper-common/src/main/java/org/apache/bookkeeper/common/conf/validators/ClassValidator.java,0,0,0,0,0,0,0,0,0,No
1,bookkeeper-common/src/main/java/org/apache/bookkeeper/common/conf/validators/NullValidator.java,0,0,0,0,0,0,0,0,0,No
1,bookkeeper-common/src/main/java/org/apache/bookkeeper/common/conf/validators/RangeValidator.java,0,0,0,0,0,0,0,0,0,No
1,bookkeeper-common/src/main/java/org/apache/bookkeeper/common/conf/validators/package-info.java,0,0,0,0,0,0,0,0,0,No
1,bookkeeper-common/src/main/java/org/apache/bookkeeper/common/net/ServiceURI.java,0,0,0,0,0,0,0,0,0,No
1,bookkeeper-common/src/main/java/org/apache/bookkeeper/common/net/package-info.java,0,0,0,0,0,0,0,0,0,No
1,bookkeeper-common/src/main/java/org/apache/bookkeeper/common/package-info.java,0,0,0,0,0,0,0,0,0,No
1,bookkeeper-common/src/main/java/org/apache/bookkeeper/common/stats/BroadCastStatsLogger.java,0,0,0,0,0,0,0,0,0,No
1,bookkeeper-common/src/main/java/org/apache/bookkeeper/common/stats/OpStatsListener.java,0,0,0,0,0,0,0,0,0,No
1,bookkeeper-common/src/main/java/org/apache/bookkeeper/common/stats/package-info.java,0,0,0,0,0,0,0,0,0,No
1,bookkeeper-common/src/main/java/org/apache/bookkeeper/common/util/Backoff.java,0,0,0,0,0,0,0,0,0,No
1,bookkeeper-common/src/main/java/org/apache/bookkeeper/common/util/BoundedExecutorService.java,0,0,0,0,0,0,0,0,0,No
1,bookkeeper-common/src/main/java/org/apache/bookkeeper/common/util/BoundedScheduledExecutorService.java,0,0,0,0,0,0,0,0,0,No
1,bookkeeper-common/src/main/java/org/apache/bookkeeper/common/util/ExecutorUtils.java,0,0,0,0,0,0,0,0,0,No
1,bookkeeper-common/src/main/java/org/apache/bookkeeper/common/util/JsonUtil.java,0,0,0,0,0,0,0,0,0,No
1,bookkeeper-common/src/main/java/org/apache/bookkeeper/common/util/LogExceptionRunnable.java,0,0,0,0,0,0,0,0,0,No
1,bookkeeper-common/src/main/java/org/apache/bookkeeper/common/util/MathUtils.java,0,0,0,0,0,0,0,0,0,No
1,bookkeeper-common/src/main/java/org/apache/bookkeeper/common/util/MdcUtils.java,0,0,0,0,0,0,0,0,0,No
1,bookkeeper-common/src/main/java/org/apache/bookkeeper/common/util/OrderedExecutor.java,0,0,0,0,0,0,0,0,0,No
1,bookkeeper-common/src/main/java/org/apache/bookkeeper/common/util/OrderedScheduler.java,0,0,0,0,0,0,0,0,0,No
1,bookkeeper-common/src/main/java/org/apache/bookkeeper/common/util/Recyclable.java,0,0,0,0,0,0,0,0,0,No
1,bookkeeper-common/src/main/java/org/apache/bookkeeper/common/util/ReferenceCounted.java,0,0,0,0,0,0,0,0,0,No
1,bookkeeper-common/src/main/java/org/apache/bookkeeper/common/util/ReflectionUtils.java,0,0,0,0,0,0,0,0,0,No
